fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-02-26,52,ALCOBENDAS,prophet_30,real,9.0,7,50,52,52.0
2025-02-27,49,ALCOBENDAS,prophet_30,real,9.0,5,22,49,49.0
2025-02-28,37,ALCOBENDAS,prophet_30,real,9.0,6,37,37,37.0
2025-03-01,57,ALCOBENDAS,prophet_30,predicción,6.0,6,36,63,64.0
2025-03-02,64,ALCOBENDAS,prophet_30,predicción,4.0,4,16,60,59.0
2025-03-03,66,ALCOBENDAS,prophet_30,predicción,19.0,19,361,47,59.0
2025-03-04,57,ALCOBENDAS,prophet_30,predicción,3.0,3,9,54,54.0
2025-03-05,68,ALCOBENDAS,prophet_30,predicción,22.0,22,484,46,57.0
2025-03-06,67,ALCOBENDAS,prophet_30,predicción,16.0,16,256,51,62.0
2025-03-07,62,ALCOBENDAS,prophet_30,predicción,18.0,18,324,44,59.0
2025-03-08,63,ALCOBENDAS,prophet_30,predicción,5.0,5,25,68,
2025-03-09,57,ALCOBENDAS,prophet_30,predicción,8.0,8,64,65,
2025-03-10,61,ALCOBENDAS,prophet_30,predicción,7.0,7,49,54,
2025-03-11,64,ALCOBENDAS,prophet_30,predicción,9.0,9,81,55,
2025-03-12,58,ALCOBENDAS,prophet_30,predicción,14.0,14,196,44,
2025-03-13,66,ALCOBENDAS,prophet_30,predicción,4.0,4,16,62,
2025-03-14,57,ALCOBENDAS,prophet_30,predicción,14.0,14,196,71,
2025-03-15,54,ALCOBENDAS,prophet_30,predicción,1.0,1,1,55,
2025-03-16,58,ALCOBENDAS,prophet_30,predicción,7.0,7,49,65,
2025-03-17,58,ALCOBENDAS,prophet_30,predicción,9.0,9,81,49,
2025-03-18,57,ALCOBENDAS,prophet_30,predicción,10.0,10,100,47,
2025-03-19,62,ALCOBENDAS,prophet_30,predicción,0.0,0,0,62,
2025-03-20,51,ALCOBENDAS,prophet_30,predicción,14.0,14,196,65,
2025-03-21,62,ALCOBENDAS,prophet_30,predicción,9.0,9,81,71,
2025-03-22,57,ALCOBENDAS,prophet_30,predicción,17.0,17,289,74,
2025-03-23,65,ALCOBENDAS,prophet_30,predicción,1.0,1,1,64,
2025-03-24,57,ALCOBENDAS,prophet_30,predicción,6.0,6,36,51,
2025-03-25,67,ALCOBENDAS,prophet_30,predicción,6.0,6,36,61,
2025-03-26,65,ALCOBENDAS,prophet_30,predicción,9.0,9,81,56,
2025-03-27,67,ALCOBENDAS,prophet_30,predicción,8.0,8,64,59,
2025-03-28,62,ALCOBENDAS,prophet_30,predicción,1.0,1,1,61,
2025-03-29,62,ALCOBENDAS,prophet_30,predicción,7.0,7,49,69,
2025-03-30,66,ALCOBENDAS,prophet_30,predicción,3.0,3,9,69,
2025-01-01,165,ALCORCÓN,prophet_30,real,11.0,28,790,165,165.0
2025-01-02,77,ALCORCÓN,prophet_30,real,11.0,8,64,77,77.0
2025-01-03,78,ALCORCÓN,prophet_30,real,11.0,7,45,78,78.0
2025-01-04,76,ALCORCÓN,prophet_30,real,11.0,16,241,76,76.0
2025-01-05,93,ALCORCÓN,prophet_30,real,11.0,19,344,93,93.0
2025-01-06,39,ALCORCÓN,prophet_30,real,11.0,7,54,39,39.0
2025-01-07,42,ALCORCÓN,prophet_30,real,11.0,2,4,42,42.0
2025-01-08,50,ALCORCÓN,prophet_30,real,11.0,2,3,50,50.0
2025-01-09,27,ALCORCÓN,prophet_30,real,11.0,7,53,27,27.0
2025-01-10,39,ALCORCÓN,prophet_30,real,11.0,7,47,39,39.0
2025-01-11,31,ALCORCÓN,prophet_30,real,11.0,9,75,31,31.0
2025-01-12,51,ALCORCÓN,prophet_30,real,11.0,0,0,51,51.0
