fecha,municipio,ICA_real
2025-03-03,"ATAZAR, EL",70.625
2025-03-20,GETAFE,70.54166666666667
2025-03-24,MAJADAHONDA,70.5
2025-03-26,VILLA DEL PRADO,70.375
2025-03-09,"ROZAS, LAS",70.29166666666667
2025-03-24,ORUSCO DE TAJUÑA,70.29166666666667
2025-03-10,ALGETE,70.18181818181819
2025-03-11,ARGANDA DEL REY,70.125
2025-03-14,GETAFE,70.125
2025-03-01,ALGETE,70.08333333333333
2025-03-30,TORREJÓN DE ARDOZ,70.04347826086956
2025-03-05,COLMENAR VIEJO,70.04347826086956
2025-03-18,ARGANDA DEL REY,70.0
2025-03-27,ARGANDA DEL REY,69.95833333333333
2025-03-13,"ATAZAR, EL",69.875
2025-03-22,LEGANÉS,69.875
2025-03-09,ALCORCÓN,69.83333333333333
2025-03-09,PARLA,69.83333333333333
2025-03-05,VILLAREJO DE SALVANÉS,69.75
2025-03-11,ARANJUEZ,69.54545454545455
2025-03-10,COLMENAR VIEJO,69.54166666666667
2025-03-02,"ROZAS, LAS",69.5
2025-03-24,MÓSTOLES,69.45833333333333
2025-03-01,ORUSCO DE TAJUÑA,69.375
2025-03-08,COSLADA,69.33333333333333
2025-03-02,ALGETE,69.25
2025-03-30,ALCOBENDAS,69.21739130434783
2025-03-24,"ROZAS, LAS",69.125
2025-03-25,ORUSCO DE TAJUÑA,69.125
2025-03-21,LEGANÉS,69.0
2025-03-16,GUADALIX DE LA SIERRA,68.95833333333333
2025-03-23,ALCORCÓN,68.91666666666667
2025-03-07,"ATAZAR, EL",68.83333333333333
2025-03-10,ARANJUEZ,68.79166666666667
2025-03-24,PARLA,68.78260869565217
2025-03-29,ALCOBENDAS,68.75
2025-03-20,SAN SEBASTIÁN DE LOS REYES,68.70833333333333
2025-03-28,VILLAREJO DE SALVANÉS,68.58333333333333
2025-03-05,ORUSCO DE TAJUÑA,68.5
2025-03-11,MÓSTOLES,68.45833333333333
2025-03-10,MÓSTOLES,68.41666666666667
2025-03-01,MAJADAHONDA,68.41666666666667
2025-03-30,ARANJUEZ,68.3913043478261
2025-03-14,MAJADAHONDA,68.33333333333333
2025-03-20,GUADALIX DE LA SIERRA,68.25
2025-03-30,RIVAS-VACIAMADRID,68.20833333333333
2025-03-14,PARLA,68.16666666666667
2025-03-03,ORUSCO DE TAJUÑA,68.125
2025-03-08,ALCOBENDAS,68.125
2025-03-29,ALCORCÓN,68.08333333333333
2025-03-06,COLMENAR VIEJO,68.08333333333333
2025-03-30,GUADALIX DE LA SIERRA,68.08333333333333
2025-03-12,ORUSCO DE TAJUÑA,68.04545454545455
2025-03-27,TORREJÓN DE ARDOZ,68.04166666666667
2025-03-23,PARLA,68.0
2025-03-19,PARLA,68.0
2025-03-23,GETAFE,67.91666666666667
2025-03-24,VILLAREJO DE SALVANÉS,67.875
2025-03-23,TORREJÓN DE ARDOZ,67.83333333333333
2025-03-30,MÓSTOLES,67.69565217391305
2025-03-08,GETAFE,67.66666666666667
2025-03-25,VILLA DEL PRADO,67.6086956521739
2025-03-16,RIVAS-VACIAMADRID,67.58333333333333
2025-03-21,POZUELO DE ALARCÓN,67.58333333333333
2025-03-24,ALCORCÓN,67.57142857142857
2025-03-29,"ROZAS, LAS",67.5
2025-03-11,ALGETE,67.41666666666667
2025-03-18,RIVAS-VACIAMADRID,67.375
2025-03-14,ALCALÁ DE HENARES,67.33333333333333
2025-03-01,VILLAREJO DE SALVANÉS,67.29166666666667
2025-03-21,SAN MARTÍN DE VALDEIGLESIAS,67.25
2025-03-24,VALDEMORO,67.25
2025-03-19,VILLA DEL PRADO,67.25
2025-03-12,ARGANDA DEL REY,67.19047619047619
2025-03-11,GUADALIX DE LA SIERRA,67.16666666666667
2025-03-06,ARANJUEZ,67.16666666666667
2025-03-28,SAN MARTÍN DE VALDEIGLESIAS,67.16666666666667
2025-03-20,LEGANÉS,67.16666666666667
2025-03-09,FUENLABRADA,67.08333333333333
2025-03-10,RIVAS-VACIAMADRID,67.08333333333333
2025-03-20,SAN MARTÍN DE VALDEIGLESIAS,66.91666666666667
2025-03-19,FUENLABRADA,66.9047619047619
2025-03-01,RIVAS-VACIAMADRID,66.875
2025-03-11,VILLA DEL PRADO,66.875
2025-03-09,TORREJÓN DE ARDOZ,66.875
2025-03-19,VALDEMORO,66.875
2025-03-24,ARGANDA DEL REY,66.83333333333333
2025-03-14,"ROZAS, LAS",66.83333333333333
2025-03-07,ARANJUEZ,66.82608695652173
2025-03-14,VALDEMORO,66.75
2025-03-20,ALCALÁ DE HENARES,66.75
2025-03-19,MAJADAHONDA,66.66666666666667
2025-03-28,ARGANDA DEL REY,66.5909090909091
2025-03-01,VILLA DEL PRADO,66.58333333333333
2025-03-22,POZUELO DE ALARCÓN,66.58333333333333
2025-03-01,COLLADO VILLALBA,66.5
2025-03-24,COSLADA,66.45833333333333
2025-03-17,COLMENAR VIEJO,66.41666666666667
2025-03-28,MAJADAHONDA,66.34782608695652
2025-03-08,LEGANÉS,66.29166666666667
2025-03-14,FUENLABRADA,66.29166666666667
2025-03-23,FUENLABRADA,66.25
2025-03-30,VALDEMORO,66.21739130434783
2025-03-14,LEGANÉS,66.16666666666667
2025-03-30,FUENLABRADA,66.1304347826087
2025-03-01,GUADALIX DE LA SIERRA,66.125
2025-03-19,COSLADA,66.0952380952381
2025-03-18,ALGETE,66.08333333333333
2025-03-24,FUENLABRADA,66.04166666666667
2025-03-14,ALCORCÓN,66.04166666666667
2025-03-29,FUENLABRADA,66.04166666666667
2025-03-19,SAN SEBASTIÁN DE LOS REYES,65.95833333333333
2025-03-16,ALCORCÓN,65.83333333333333
2025-03-02,VILLA DEL PRADO,65.79166666666667
2025-03-18,COLMENAR VIEJO,65.76190476190476
2025-03-02,COLLADO VILLALBA,65.75
2025-03-14,COSLADA,65.70833333333333
2025-03-02,ORUSCO DE TAJUÑA,65.66666666666667
2025-03-17,"ATAZAR, EL",65.66666666666667
2025-03-23,RIVAS-VACIAMADRID,65.58333333333333
2025-03-09,MAJADAHONDA,65.54166666666667
2025-03-02,MAJADAHONDA,65.54166666666667
2025-03-16,PARLA,65.45833333333333
2025-03-24,ALGETE,65.45833333333333
2025-03-28,TORREJÓN DE ARDOZ,65.33333333333333
2025-03-09,VILLA DEL PRADO,65.25
2025-03-23,ARANJUEZ,65.25
2025-03-09,VALDEMORO,65.25
2025-03-09,ALCALÁ DE HENARES,65.125
2025-03-09,ALCOBENDAS,65.08333333333333
2025-03-07,ALGETE,65.0
2025-03-29,RIVAS-VACIAMADRID,64.95833333333333
2025-03-02,VILLAREJO DE SALVANÉS,64.95833333333333
2025-03-19,GUADALIX DE LA SIERRA,64.91666666666667
2025-03-20,ALCOBENDAS,64.91304347826087
2025-03-26,RIVAS-VACIAMADRID,64.85714285714286
2025-03-02,RIVAS-VACIAMADRID,64.83333333333333
2025-03-13,ORUSCO DE TAJUÑA,64.79166666666667
2025-03-16,ARANJUEZ,64.79166666666667
2025-03-20,COSLADA,64.79166666666667
2025-03-17,ORUSCO DE TAJUÑA,64.79166666666667
2025-03-16,ALCOBENDAS,64.75
2025-03-13,GUADALIX DE LA SIERRA,64.70833333333333
2025-03-04,ALGETE,64.5909090909091
2025-03-27,GETAFE,64.5
2025-03-07,MÓSTOLES,64.5
2025-03-17,VILLAREJO DE SALVANÉS,64.41666666666667
2025-03-29,SAN SEBASTIÁN DE LOS REYES,64.41666666666667
2025-03-30,PARLA,64.375
2025-03-16,FUENLABRADA,64.29166666666667
2025-03-15,GUADALIX DE LA SIERRA,64.25
2025-03-12,VILLAREJO DE SALVANÉS,64.08333333333333
2025-03-05,ALGETE,64.04166666666667
2025-03-19,ALCORCÓN,63.958333333333336
2025-03-11,COLLADO VILLALBA,63.875
2025-03-10,TORREJÓN DE ARDOZ,63.875
2025-03-10,GUADALIX DE LA SIERRA,63.81818181818182
2025-03-27,SAN MARTÍN DE VALDEIGLESIAS,63.75
2025-03-30,COLLADO VILLALBA,63.69565217391305
2025-03-12,MÓSTOLES,63.666666666666664
2025-03-03,ALGETE,63.666666666666664
2025-03-23,ALCOBENDAS,63.625
2025-03-24,GETAFE,63.625
2025-03-29,ARANJUEZ,63.625
2025-03-23,VALDEMORO,63.625
2025-03-18,TORREJÓN DE ARDOZ,63.59090909090909
2025-03-01,MÓSTOLES,63.583333333333336
2025-03-11,MAJADAHONDA,63.583333333333336
2025-03-29,ALCALÁ DE HENARES,63.5
2025-03-11,PARLA,63.47826086956522
2025-03-20,POZUELO DE ALARCÓN,63.416666666666664
2025-03-09,GETAFE,63.291666666666664
2025-03-09,COSLADA,63.291666666666664
2025-03-19,GETAFE,63.25
2025-03-02,SAN SEBASTIÁN DE LOS REYES,63.166666666666664
2025-03-12,GUADALIX DE LA SIERRA,63.166666666666664
2025-03-19,"ROZAS, LAS",63.166666666666664
2025-03-01,ALCOBENDAS,63.125
2025-03-19,COLLADO VILLALBA,63.125
2025-03-02,GUADALIX DE LA SIERRA,63.125
2025-03-22,SAN MARTÍN DE VALDEIGLESIAS,63.125
2025-03-25,VILLAREJO DE SALVANÉS,63.125
2025-03-24,COLLADO VILLALBA,63.083333333333336
